TI,PY,SO,DI,topic,topic_terms
Fecal Microbiota Transplantation for Clostridioides difficile Infection in Immunocompromised Pediatric Patients,2023,Journal of Pediatric Gastroenterology and Nutrition,10.1097/MPG.0000000000003714,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Efficacy of Infliximab Dose Escalation in Patients with Refractory Immunotherapy-Related Colitis: A Case Series,2022,Oncologist,10.1093/oncolo/oyac019,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Effect of gut microbiota on immune checkpoint inhibitor (ICI) based cancer immunotherapy,2021,Ceylon Journal of Science,10.4038/cjs.v50i4.7941,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Role of neutrophil interleukin-23 in spondyloarthropathy spectrum disorders,2023,The Lancet Rheumatology,10.1016/S2665-9913(22)00334-4,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Ginkgo biloba leaf extract suppresses intestinal human breast cancer resistance protein expression in mice: Correlation with gut microbiota,2021,Biomedicine and Pharmacotherapy,10.1016/j.biopha.2021.111712,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Cancer Biology and Therapeutics: Navigating Recent Advances and Charting Future Directions,2023,Tropical Journal of Natural Product Research,10.26538/tjnpr/v7i12.4,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Reviewing cancer’s biology: an eclectic approach,2021,Journal of the Egyptian National Cancer Institute,10.1186/s43046-021-00088-y,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Fatal BK polyomavirus-associated pneumonia: report of two cases with literature review,2023,BMC Infectious Diseases,10.1186/s12879-023-08577-2,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
The Role of Oxidative Stress in the Development and Therapeutic Intervention of Hepatocellular Carcinoma,2023,Current Cancer Drug Targets,10.2174/1568009623666230418121130,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Phages and their potential to modulate the microbiome and immunity,2021,Cellular and Molecular Immunology,10.1038/s41423-020-00532-4,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Unlocking the Potential of the Human Microbiome for Identifying Disease Diagnostic Biomarkers,2022,Diagnostics,10.3390/diagnostics12071742,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Faecal microbiota transplantation enhances efficacy of immune checkpoint inhibitors therapy against cancer,2021,World Journal of Gastroenterology,10.3748/wjg.v27.i32.5362,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Pharmacomicrobiomics and type 2 diabetes mellitus: A novel perspective towards possible treatment,2023,Frontiers in Endocrinology,10.3389/fendo.2023.1149256,3,"pancreatic, pancreatic cancer, pdac, cancer, ductal, adenocarcinoma, tumor, gemcitabine, pancreatic ductal, resistance"
Paraprobiotics and postbiotics: Contemporary and promising natural antibiotics alternatives and their applications in the poultry field,2020,Open Veterinary Journal,10.4314/ovj.v10i3.11,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Combination therapy of Lactobacillus plantarum supernatant and 5-fluouracil increases chemosensitivity in colorectal cancer cells,2016,Journal of Microbiology and Biotechnology,10.4014/jmb.1605.05024,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
"Opioids in Cancer Development, Progression and Metastasis: Focus on Colorectal Cancer",2020,Current Treatment Options in Oncology,10.1007/s11864-019-0699-1,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Genomics of response to immune checkpoint therapies for cancer: implications for precision medicine,2018,Genome Medicine,10.1186/s13073-018-0605-7,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Breast and gut microbiota action mechanisms in breast cancer pathogenesis and treatment,2020,Cancers,10.3390/cancers12092465,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Future prospects of immune checkpoint blockade in cancer: from response prediction to overcoming resistance,2018,Experimental and Molecular Medicine,10.1038/s12276-018-0130-1,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Fecal microbiota transplantation for refractory Crohn's disease,2017,Intestinal Research,10.5217/ir.2017.15.2.244,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Connecting the dots between inflammatory bowel disease and metabolic syndrome: A focus on gut-derived metabolites,2020,Nutrients,10.3390/nu12051434,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Role of the microbiota in hematologic malignancies,2019,Netherlands Journal of Medicine,,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Compositional and Temporal Changes in the Gut Microbiome of Pediatric Ulcerative Colitis Patients Are Linked to Disease Course,2018,Cell Host and Microbe,10.1016/j.chom.2018.09.009,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Identification and Characterization of Trimethylamine-N-oxide Uptake and Efflux Transporters,2017,Molecular Pharmaceutics,10.1021/acs.molpharmaceut.6b00937,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Yeast Extract Induces Apoptosis and Cell Cycle Arrest via Activating p38 Signal Pathway in Colorectal Cancer Cells,2020,Annals of Clinical and Laboratory Science,,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Current new challenges in the management of ulcerative colitis,2019,Intestinal Research,10.5217/ir.2018.00126,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Current and future pharmacological therapies for managing cirrhosis and its complications,2019,World Journal of Gastroenterology,10.3748/wjg.v25.i8.888,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Effect of Baicalin on Bacterial Secondary Infection and Inflammation Caused by H9N2 AIV Infection in Chickens,2020,BioMed Research International,10.1155/2020/2524314,4,"infection, infections, drug, resistant, aeruginosa, bacterial, phage, tb, mdr, animal"
Bezlotoxumab: anti-toxin B monoclonal antibody to prevent recurrence of Clostridium difficile infection,2017,Expert Review of Gastroenterology and Hepatology,10.1080/17474124.2017.1344551,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Recent Advances in Pathology: the 2019 Annual Review Issue of The Journal of Pathology,2019,Journal of Pathology,10.1002/path.5255,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Colonization with multidrug-resistant bacteria increases the risk of complications and a fatal outcome after allogeneic hematopoietic cell transplantation,2018,Annals of Hematology,10.1007/s00277-017-3205-5,10,"transplantation, gvhd, graft, graft versus, versus, versus host, acute, cell transplantation, host disease, agvhd"
Emerging roles for the intestinal microbiome in epilepsy,2020,Neurobiology of Disease,10.1016/j.nbd.2019.104576,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
The importance of the microbiome in critically ill patients: Role of nutrition,2019,Nutrients,10.3390/nu11123002,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Mechanisms of molecular resistance and predictors of response to biological therapy in inflammatory bowel disease,2018,The Lancet Gastroenterology and Hepatology,10.1016/S2468-1253(18)30265-6,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
"Microbiota of chronic diabetic wounds: Ecology, impact, and potential for innovative treatment strategies",2017,Frontiers in Microbiology,10.3389/fmicb.2017.01791,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Gut microbiota influences experimental outcomes in mouse models of colorectal cancer,2019,Genes,10.3390/genes10110900,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Microbial network disturbances in relapsing refractory Crohn’s disease,2019,Nature Medicine,10.1038/s41591-018-0308-z,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Treatment of inflammatory bowel disease from the immunological perspective,2020,Immunological Medicine,10.1080/25785826.2020.1751934,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
The treatment of refractory ulcerative colitis,2018,Best Practice and Research: Clinical Gastroenterology,10.1016/j.bpg.2018.05.009,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Gut microbiota: What impact on colorectal carcinogenesis and treatment?; [Le microbiote intestinal : quels impacts sur la carcinogenèse et le traitement du cancer colorectal ?],2018,Bulletin du Cancer,10.1016/j.bulcan.2017.10.025,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Nutraceuticals in colorectal cancer: A mechanistic approach,2018,European Journal of Pharmacology,10.1016/j.ejphar.2018.06.027,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
Biomarkers for Response to Immune Checkpoint Blockade,2020,Annual Review of Cancer Biology,10.1146/annurev-cancerbio-030419-033604,2,"cancer, tumor, immune, cell, resistance, pd, immunotherapy, checkpoint, drug, immune checkpoint"
Differential activation of human pregnane X receptor PXR by isomeric mono-methylated indoles in intestinal and hepatic in vitro models,2020,Toxicology Letters,10.1016/j.toxlet.2020.02.010,6,"liver, bile, acid, protein, transporter, drug, bile acid, metabolism, transporters, ba"
Collective motion conceals fitness differences in crowded cellular populations,2019,Nature Ecology and Evolution,10.1038/s41559-018-0734-9,0,"microbiota, gut, cancer, microbiome, immune, immunotherapy, gut microbiota, tumor, patients, treatment"
Efficacy and safety of single fecal microbiota transplantation for Japanese patients with mild to moderately active ulcerative colitis,2017,Journal of Gastroenterology,10.1007/s00535-016-1271-4,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Vancomycin-loaded nanoparticles enhance sporicidal and antibacterial efficacy for clostridium difficile infection,2019,Frontiers in Microbiology,10.3389/fmicb.2019.01141,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Clostridium difficile infection in ulcerative colitis: Can alteration of the gut-associated microbiome contribute to pouch failure?,2016,Inflammatory Bowel Diseases,10.1097/MIB.0000000000000710,8,"colitis, ulcerative, ulcerative colitis, uc, disease, treatment, inflammatory, patients, pouch, therapy"
Evaluation of cytokine levels as putative biomarkers to predict the pharmacological response to biologic therapy in inflammatory bowel diseases,2019,Minerva Gastroenterologica e Dietologica,10.23736/S1121-421X.19.02621-7,-1,"cancer, cell, treatment, patients, microbiota, immune, gut, therapy, disease, resistance"
Serendipity in refractory celiac disease: Full recovery of duodenal villi and clinical symptoms after fecal microbiota transfer,2016,Journal of Gastrointestinal and Liver Diseases,,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Patients with enthesitis related arthritis show similar monocyte function pattern as seen in adult axial spondyloarthropathy,2020,Pediatric Rheumatology,10.1186/s12969-020-0403-9,7,"ibd, disease, inflammatory, bowel, inflammatory bowel, bowel disease, colitis, crohn, crohn disease, intestinal"
Improvement of Good’s syndrome by fecal microbiota transplantation: the first case report,2019,Journal of International Medical Research,10.1177/0300060519854913,5,"fmt, difficile, transplantation, fecal, cdi, microbiota transplantation, fecal microbiota, microbiota, treatment, infection"
Progress in characterizing the linkage between Fusobacterium nucleatum and gastrointestinal cancer,2019,Journal of Gastroenterology,10.1007/s00535-018-1512-9,1,"crc, colorectal, cancer, colorectal cancer, nucleatum, tumor, cells, microbiota, cell, resistance"
